name,id,artists,Assignments
Llorar,4M4oSbEjB8Z94039uyjXuO,['Aventura'],2
Инь янь,73S4xxYMs9BXHqVSPX5TjR,['ATL'],3
brand new stone,5t8ennI7PrfAWjYFpJdZkv,['Thee Michelle Gun Elephant'],3
Ayer Y Hoy,19moqBHTxVjj8BMGVO8ClD,"['La Combinación Vallenata', 'Jean Carlos Centeno', 'John Lozano']",3
I coldly stare out,2uosaArzNay7YtHKVohcPa,['Pink Turns Blue'],3
Carousel,7tKiLl48gjlJkU9oDvVQ7n,['blink-182'],3
Hatfield Jol,79ecXD8VbVbTUlJvPrXr54,['Bok Van Blerk'],3
Hello,11J0QHXMXPieiAH0iG1tx5,['Supercar'],3
No pares,7719gTCSl98NuXTqa3p7n5,['Ángeles Del Infierno'],3
Pints of Guinness Make You Strong,00NNd1BFzQQzZe4UcvZIzB,['Against Me!'],3
Memphis,3Z0OG6hKVfKqLpFtacUUDe,['Faces'],3
Shir Shel Achrey Milchama,11QL3EwXbaV5h2ES0mG1X1,['Arik Einstein'],4
Frelsið,34N8N9bPN3BO59W47mdgH4,['KK'],4
Jayambu Nischayamburaa,3SBFYnRU8jWwpu8lMuux4d,"['Ghantasala', 'P. Susheela', 'Sarojini']",4
Que Dichoso Es,1JErJYKTWndaD5PvGMdYY5,['La Sonora Matancera'],4
Never Was At All,1rqr7YSNxRfHLbotx9lpYP,['Slim Dusty'],4
The Morning Fog,7zQNBNgOtmwD7eo8DGgc12,['Kate Bush'],4
"Ligga, ligga lá",4eSn6po7xlLlPXRlywrXzV,['Gunni og Felix'],4
"Fare Thee Well, Miss Carousel",3cGoVBGwQnNxbnw6yYJNTH,['Townes Van Zandt'],4
Me Hace Tanto Bien,4TEYKFb5cMqEnCjwvpQusb,['Alejandro Fernández'],4
Te Esperando - Bonus Track,6Ua4flnwVymItnOIPpVUKv,['Luan Santana'],4
Rødgrød med fløde,13FN1wvlHBXcbCZxQPI8E4,['Monrad Og Rislund'],5
"Stolz und Vorurteil, Kapitel 91",4vPJjrco4RgDseyL522vlC,"['Jane Austen', 'Eva Mattes']",5
017 - Tom Sawyer und Huckleberry Finn 1 - Teil 18,5Wqzx5ivVzIiJYNe9hDQfi,['Die Originale'],5
Capítulo 4.3 - el Que Susurraba en la Oscuridad,3nNQSYW2wcgJecmgcscJv2,['H.P. Lovecraft'],5
009 - im alten Turm - Teil 36,2Xdj1zNzXb06mcNMzVV62j,['Fünf Freunde'],5
001 - beim Wanderzirkus - Teil 35,75pmTFeLOvQDnRwBnUzmvN,['Fünf Freunde'],5
Kapitel 39 - reißt aus (Folge 025),1JpFA0BonV6bhh4EOEYE89,['Bibi Blocksberg'],5
020 - Robin Hood - Teil 17,0Gd6TgNrtFZol0z8r8dSj6,['Die Originale'],5
Kapitel 09 - als Gärtner (Folge 047),2MeWPowhqwTNH1q2j9vwTQ,['Benjamin Blümchen'],5
"Von der Renaissance bis heute, Kapitel 9",2c51Y8cyOuXBbVQahEtNTu,"['Ernst H. Gombrich', 'Christoph Waltz']",5
More Power,2Iut7Pg2hpqxtQAdR4p2jd,['Carlos Perón'],6
"Orchestral Suite No.3 In D Major, BWV 1068: 2. Air",5hUkfyrkoge16FyL3oUseF,['James Last'],6
2019,6WaCKO2Gdu6M5d03mseEmE,['ghostkiller'],6
Rosetta Stoned,0D8l86LXxKcgKAO17DfQsl,['TOOL'],6
Leonie - Beatsole Remix,3hFbMnZl3tjRIrnT72shcf,"['Dj T.H.', 'Beatsole']",6
光の庭,1lLv5TgXFrex2KCEfuvo2D,['aikamachi+nagie'],6
Eye 2 Eye (FSOE 350 Anthem),5DgsKb02GAxAZgE1fXs6YM,"['Aly & Fila', 'Roger Shah', 'Sylvia Tosun']",6
Catapult,5mcsWhb5kLdbZeEH6tHIe3,['R.E.M.'],6
Hungry Years - 2009 Remastered Version,1eo0NBW0eJwegUSGF4ZwMP,['Saxon'],6
Xxplosive - Instrumental,6IPlwxIq7t3bFD18w9MZoQ,['Dr. Dre'],6
Dök Zülfünü Meydana Gel,0nnfnQYFvu54wWDs4HnWfD,['Münir Nurettin Selçuk'],7
A Year After Wind,4qFT94FK8KMXpw42hc5RRt,['Hamburg Student'],7
What'll I Do,7I4wFaXQnpdlXThQLHGUim,['Chet Baker'],7
"Waltz, Op. 35, No. 15 in A-Flat",5GrmN8d4ZcaP1S6JSx8HwV,"['Johannes Brahms', 'Vladimir Horowitz']",7
"Goldberg Variations, BVW 988 with 30 Variations: Variatio 13 a 2 Clav.",5baIX6tIPrxgLQInvAZcS3,"['Johann Sebastian Bach', 'Glenn Gould']",7
One Man's Dream,53Lfqp8F0KCInwcFjabMJB,['Yanni'],7
Liebesleid (Love's Sorrow),38EmZT3oWA6lJE0o4ajfG8,"['Fritz Kreisler', 'Sergei Rachmaninoff', 'RueiBin Chen']",7
The Deer Hunter,4KWY5bW4UN9E4bStCfDnIh,"['S. Myers', 'Laine', 'Francis Goya']",7
"Préludes, Livre 2, L. 123: 6. Général Lavine - eccentric",6UgRV4CRk4b7JWzg1MYR6Z,"['Claude Debussy', 'Oscar Levant']",7
Lights in the City,2X1iaFJDHBEoFrir8PjtA7,"['Luxury Lounge Cafe Allstars', 'Wake Up Music Paradise', 'Jazz Sax Lounge Collection']",7
Born Under Punches (The Heat Goes On) - Extended; 2004 Remaster,7tZDm498uu16woGTlK1V4p,['Talking Heads'],8
Voy a Aterrizar,3QTkz0JMv2N9RCoK829egK,['Nosoträsh'],8
Hollywood,2hTLp8EWarlUWvIxL4gLjp,['Rick James'],8
Area Turns Red (feat. Blackhead),2E35uNGO6uk2bNYVPRJ5AH,"['Infinite Mass', 'Blackhead']",8
Trátame Suavemente - Remasterizado 2007,62ZroX9gLL60Tg6VcF2tIN,['Soda Stereo'],8
Skaparate nacional,4xB4uhJVy2cfwDvFcPZoeK,['Celtas Cortos'],8
"Shock Me - Live At The Forum, Los Angeles/1977",0QnSCYM1IVhEEnKBJG3HWk,['KISS'],8
Rueda Que Rueda (with Mariachi Vargas de Tecalitlán),0KyFfE3fAMDXY5Il5mR5p4,"['Yolanda Del Rio', 'Mariachi Vargas De Tecalitlan']",8
"Hava Naguila (Dansons mon amour) [Live May 14, 1959]",04QXxf0wcY0QBVP6d2TMNZ,['Dalida'],8
Amiga Mía,0qRw1mmZ0jmmZw30T8czeS,['El Roockie'],8
Tu Sundar Phoolon Ka Daali,1DBBGr0SHTDiysJ7xLM4vz,"['Sardar Akhtar', 'Harish']",9
Cho Chaaruseela,1UqHgoF21yBa0k0mGlyQ1A,"['Akkineni Nageswara Rao', 'S. Varalakshmi']",9
"Prelude and Fugue No. 7 in E-Flat Major, BWV 852: Fugue",6rB8Vt0KEExA73zgdNcTap,"['Johann Sebastian Bach', 'Glenn Gould']",9
Lunar New Year - Piano Version,6lRzCdyrgLfJFD26b0EscS,"['WoT Music Team', 'Ivan Kucherenko']",9
Boll Weevil (273-A-1),0fKGVC2wR7Y9OtwPnkFnhJ,['Lead Belly'],9
Shadow of a Doubt,0mYaDPgvNkXgXS3TVjuITD,['Sonic Youth'],9
Hayat Gençlik Boyunca,7ph0vA1jgoMn8kvuV9zRkG,['Münir Nurettin Selçuk'],9
Alice in Wonderland - Mono Version,4ipsoZpTScMd0kCBeqxs9N,['The Dave Brubeck Quartet'],9
Surrogate Jiji,2sNcVkBuezohTuJ62Y7d3O,['Joe Hisaishi'],9
Not That Simple,1JkIIANK4UJnw3fEMfZrx1,['Yann Tiersen'],9
